City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,meulaboh,4.1363,96.1285,23.63,94,100,2.56,ID,1689808840
110,manokwari,-0.8667,134.0833,26.73,76,99,1.06,ID,1689808841
111,tura,25.5198,90.2201,24.07,94,81,2.57,IN,1689808841
112,dudinka,69.4058,86.1778,13.34,96,96,2.45,RU,1689808841
113,matoury,4.8483,-52.3317,26.98,83,100,1.03,GF,1689808842
114,kayes,14.0,-11.0,23.6,88,100,6.82,ML,1689808842
115,stanley,54.868,-1.6985,12.1,94,0,0.51,GB,1689808843
116,jamaame,0.0697,42.745,24.17,81,51,4.92,SO,1689808843
117,kisangani,0.5167,25.2,22.62,87,66,1.29,CD,1689808843
118,sitka,57.0531,-135.33,14.94,77,100,1.54,US,1689808844
119,punta arenas,-53.15,-70.9167,1.8,69,100,2.65,CL,1689808690
120,nago,26.5881,127.9761,29.24,77,70,2.42,JP,1689808845
121,laojunmiao,39.8333,97.7333,19.93,34,66,2.71,CN,1689808845
122,zheleznodorozhnyy,55.7503,38.0042,13.1,77,73,4.69,RU,1689808845
123,jutai,-5.1833,-68.9,24.18,89,58,0.65,BR,1689808846
124,bikenibeu village,1.3673,173.1241,31.98,66,40,5.14,KI,1689808846
125,tual,-5.6667,132.75,26.37,80,40,8.85,ID,1689808847
126,serhiyivka,46.0272,30.3768,23.44,83,50,5.23,UA,1689808847
127,arzberg,50.0667,12.2,17.0,83,97,1.68,DE,1689808847
128,invercargill,-46.4,168.35,6.4,78,55,4.01,NZ,1689808848
129,jamestown,42.097,-79.2353,24.77,46,0,2.57,US,1689808848
130,kudymkar,59.0173,54.656,13.75,97,95,2.4,RU,1689808777
131,puerto deseado,-47.7503,-65.8938,5.37,79,88,4.66,AR,1689808849
132,kangasniemi,61.9936,26.6479,11.01,69,94,2.35,FI,1689808849
133,yokadouma,3.5167,15.05,20.87,98,97,1.12,CM,1689808850
134,thompson,55.7435,-97.8558,27.09,36,40,3.09,CA,1689808850
135,shenjiamen,29.9576,122.298,26.77,92,100,3.8,CN,1689808851
136,rampura,30.25,75.2333,29.89,69,80,3.12,IN,1689808851
137,tarauaca,-8.1614,-70.7656,26.54,65,98,0.6,BR,1689808831
138,burang,30.25,81.1667,11.31,83,94,1.56,CN,1689808852
139,saipan,15.1355,145.701,31.39,100,40,6.17,MP,1689808852
140,kavaratti,10.5669,72.642,28.07,79,100,9.37,IN,1689808756
141,hithadhoo,-0.6,73.0833,27.58,78,74,6.32,MV,1689808853
142,hamilton,39.1834,-84.5333,28.18,78,0,3.6,US,1689808301
143,broome,42.2506,-75.833,25.21,64,40,4.12,US,1689808854
144,gulf shores,30.246,-87.7008,33.49,67,0,3.09,US,1689808854
145,kone,-21.0595,164.8658,22.4,72,77,4.58,NC,1689808855
146,tromso,69.6496,18.957,10.01,87,75,3.6,NO,1689808855
147,lubango,-14.9172,13.4925,10.92,46,0,3.09,AO,1689808857
148,pangody,65.85,74.4859,18.7,90,100,3.72,RU,1689808857
149,margate,51.3813,1.3862,17.72,89,66,0.89,GB,1689808845
150,colonia,50.9333,6.95,17.75,74,33,1.19,DE,1689808627
151,kidal,18.4411,1.4078,35.53,19,45,4.28,ML,1689808859
152,lake munmorah,-33.1936,151.5719,11.77,78,5,2.39,AU,1689808859
153,kapa'a,22.0752,-159.319,28.18,77,100,9.26,US,1689808859
154,port de pollenca,39.9075,3.0814,29.05,84,1,4.77,ES,1689808860
155,harper,4.375,-7.7169,25.11,87,100,5.38,LR,1689808860
156,san patricio,28.017,-97.5169,36.4,53,0,8.03,US,1689808861
157,okha,53.5739,142.9478,16.38,85,89,3.37,RU,1689808861
158,ketchikan,55.3422,-131.6461,16.26,82,100,3.6,US,1689808861
159,nagqu,31.5,92.0,1.22,86,14,1.38,CN,1689808862
160,puerto baquerizo moreno,-0.9,-89.6,25.01,81,9,6.32,EC,1689808862
161,ust-nera,64.5667,143.2,22.36,49,85,1.06,RU,1689808863
162,nema,57.5067,50.5011,13.1,98,61,3.65,RU,1689808863
163,santo domingo de la calzada,42.4285,-2.9555,13.51,93,0,0.25,ES,1689808864
164,al hudaydah,14.7978,42.9545,31.57,62,57,4.6,YE,1689808864
165,edd,13.9297,41.6925,34.15,48,93,2.49,ER,1689808864
166,guerrero negro,27.9769,-114.0611,24.23,63,77,8.46,MX,1689808865
167,amplepuis,45.9726,4.3316,19.4,69,6,1.37,FR,1689808865
168,san gabriel,34.0961,-118.1058,39.13,27,0,5.66,US,1689808612
169,kudahuvadhoo,2.6708,72.8944,27.81,76,25,3.46,MV,1689808866
170,katsuren-haebaru,26.3369,127.8719,29.21,74,20,2.06,JP,1689808867
171,aasiaat,68.7098,-52.8699,5.21,99,100,2.01,GL,1689808867
172,rudbar,30.15,62.6,29.77,26,16,5.28,AF,1689808868
173,whitehorse,60.7161,-135.0538,23.94,33,75,4.63,CA,1689808818
174,callao,-12.0667,-77.15,22.16,64,100,4.12,PE,1689808869
175,nizhnesortymskiy,62.4397,71.7603,18.15,85,97,2.57,RU,1689808869
176,udachny,66.4167,112.4,17.57,68,39,5.13,RU,1689808869
